"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R11,R5,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"1.6K";;;
2;"D5,D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
3;"G***";"OkayCAN_Silk";1;"LOGO";;;
4;"kibuzzard-615D3B2E,kibuzzard-615D34D3,kibuzzard-615D3669,kibuzzard-615D361C,kibuzzard-615D34DF,kibuzzard-615D34D3,kibuzzard-615D34C8,kibuzzard-615D34B9,kibuzzard-615D34B0,kibuzzard-615D34A6";"label";10;"G***";;;
5;"TP9";"TestPoint_Pad_D1.0mm";1;"TP_3V3";;;
6;"TP8";"TestPoint_Pad_D1.0mm";1;"TP_GND";;;
7;"TP4";"TestPoint_Pad_D1.0mm";1;"TP_RESET";;;
8;"TP3";"TestPoint_Pad_D1.0mm";1;"TP_BOOT";;;
9;"TP7";"TestPoint_Pad_D1.0mm";1;"TP_CANL";;;
10;"TP6";"TestPoint_Pad_D1.0mm";1;"TP_CANH";;;
11;"TP5";"TestPoint_Pad_D1.0mm";1;"TP_SENSE";;;
12;"TP2";"TestPoint_Pad_D1.0mm";1;"TP_RX";;;
13;"TP1";"TestPoint_Pad_D1.0mm";1;"TP_TX";;;
14;"U3";"SOT-23-6_Handsoldering";1;"MT1470";;;
15;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
16;"U1";"XCVR_ESP32-S2-WROOM";1;"ESP32-S2-WROOM";;;
17;"SW2,SW1";"HRO-K2-1807";2;"SW_Push";;;
18;"R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"31.6K";;;
19;"R9,R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100K";;;
20;"R8,R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"5.1K";;;
21;"R4,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10K";;;
22;"R3";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"120R";;;
23;"L1";"CHILSIN-LVF303012";1;"10uH";;;
24;"J3";"JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical";1;"Conn_01x04";;;
25;"J2";"HRO_TYPE-C-31-M-12";1;"TYPE-C-31-M-12";;;
26;"J1";"OBD-Male";1;"OBD2_Connector";;;
27;"D4,D2";"D_PowerDI-123";2;"DFLS130L";;;
28;"D3";"D_SOD-123";1;"MMSZ5254C-E3-08";;;
29;"C7,C6,C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"22uF";;;
30;"C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1uF";;;
31;"C3,C2,C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"0.1uF";;;
